name,height,width,file_size(kb),method,compression_level
artificial, 853, 1280 ,24,avif,25
big_building, 960, 1280 ,40,avif,25
big_tree, 957, 1280 ,52,avif,25
bridge, 1885, 1280 ,60,avif,25
cathedral, 1925, 1280 ,36,avif,25
deer, 836, 1280 ,12,avif,25
fireworks, 960, 1280 ,20,avif,25
flower_foveon, 853, 1280 ,12,avif,25
hdr, 853, 1280 ,12,avif,25
leaves_iso_200, 851, 1280 ,80,avif,25
nightshot_iso_100, 960, 1280 ,16,avif,25
spider_web, 857, 1280 ,8,avif,25
