name,height,width,file_size(kb),method,compression_level
artificial, 853, 1280 ,76,avif,60
big_building, 960, 1280 ,224,avif,60
big_tree, 957, 1280 ,240,avif,60
bridge, 1885, 1280 ,336,avif,60
cathedral, 1925, 1280 ,200,avif,60
deer, 836, 1280 ,40,avif,60
fireworks, 960, 1280 ,60,avif,60
flower_foveon, 853, 1280 ,36,avif,60
hdr, 853, 1280 ,48,avif,60
leaves_iso_200, 851, 1280 ,300,avif,60
nightshot_iso_100, 960, 1280 ,64,avif,60
spider_web, 857, 1280 ,32,avif,60
