name,height,width,file_size(kb),method,compression_level
artificial,853, 1280,64,jpeg6b,25
big_building,960, 1280,104,jpeg6b,25
big_tree,957, 1280,100,jpeg6b,25
bridge,1885, 1280,156,jpeg6b,25
cathedral,1925, 1280,128,jpeg6b,25
deer,836, 1280,36,jpeg6b,25
fireworks,960, 1280,52,jpeg6b,25
flower_foveon,853, 1280,36,jpeg6b,25
hdr,853, 1280,40,jpeg6b,25
leaves_iso_200,851, 1280,128,jpeg6b,25
nightshot_iso_100,960, 1280,52,jpeg6b,25
spider_web,857, 1280,40,jpeg6b,25
