,name,height,width,file_size(kb),method,compression_level,bpp,psnr,ssim,flip
0,artificial,853,1280,100,jpeg6b,60,0.7502930832356389,tensor(32.3494),tensor(0.8935),tensor(0.0433)
1,big_building,960,1280,184,jpeg6b,60,1.2266666666666666,tensor(30.3773),tensor(0.8354),tensor(0.0602)
2,big_tree,957,1280,172,jpeg6b,60,1.1502612330198536,tensor(28.5367),tensor(0.7905),tensor(0.0689)
3,bridge,1885,1280,288,jpeg6b,60,0.9778249336870026,tensor(31.4088),tensor(0.8028),tensor(0.0609)
4,cathedral,1925,1280,232,jpeg6b,60,0.7713246753246753,tensor(34.0223),tensor(0.8488),tensor(0.0423)
5,deer,836,1280,60,jpeg6b,60,0.45933014354066987,tensor(35.1402),tensor(0.8791),tensor(0.0439)
6,fireworks,960,1280,80,jpeg6b,60,0.5333333333333333,tensor(35.3461),tensor(0.9186),tensor(0.0223)
7,flower_foveon,853,1280,56,jpeg6b,60,0.4201641266119578,tensor(36.7037),tensor(0.9386),tensor(0.0517)
8,hdr,853,1280,68,jpeg6b,60,0.5101992966002344,tensor(36.9271),tensor(0.9438),tensor(0.0436)
9,leaves_iso_200,851,1280,220,jpeg6b,60,1.654524089306698,tensor(28.6632),tensor(0.8251),tensor(0.0770)
10,nightshot_iso_100,960,1280,88,jpeg6b,60,0.5866666666666667,tensor(34.2806),tensor(0.9138),tensor(0.0465)
11,spider_web,857,1280,64,jpeg6b,60,0.4779463243873979,tensor(39.7755),tensor(0.9628),tensor(0.0512)
0,artificial,853,1280,212,jpeg6b,90,1.5906213364595545,tensor(36.4851),tensor(0.9310),tensor(0.0240)
1,big_building,960,1280,424,jpeg6b,90,2.8266666666666667,tensor(34.9077),tensor(0.9264),tensor(0.0346)
2,big_tree,957,1280,392,jpeg6b,90,2.6215256008359455,tensor(31.8025),tensor(0.8474),tensor(0.0406)
3,bridge,1885,1280,700,jpeg6b,90,2.376657824933687,tensor(33.7150),tensor(0.8576),tensor(0.0384)
4,cathedral,1925,1280,560,jpeg6b,90,1.8618181818181818,tensor(36.4829),tensor(0.8944),tensor(0.0247)
5,deer,836,1280,180,jpeg6b,90,1.3779904306220097,tensor(37.0537),tensor(0.8948),tensor(0.0257)
6,fireworks,960,1280,164,jpeg6b,90,1.0933333333333333,tensor(39.6421),tensor(0.9494),tensor(0.0138)
7,flower_foveon,853,1280,120,jpeg6b,90,0.9003516998827668,tensor(40.5989),tensor(0.9607),tensor(0.0299)
8,hdr,853,1280,160,jpeg6b,90,1.2004689331770222,tensor(40.4636),tensor(0.9666),tensor(0.0245)
9,leaves_iso_200,851,1280,472,jpeg6b,90,3.5497062279670977,tensor(32.9710),tensor(0.9074),tensor(0.0447)
10,nightshot_iso_100,960,1280,192,jpeg6b,90,1.28,tensor(38.1816),tensor(0.9425),tensor(0.0277)
11,spider_web,857,1280,140,jpeg6b,90,1.0455075845974329,tensor(43.1949),tensor(0.9769),tensor(0.0293)
0,artificial,853,1280,48,jpegxl,25,0.36014067995310667,tensor(31.4929),tensor(0.9098),tensor(0.0539)
1,big_building,960,1280,64,jpegxl,25,0.4266666666666667,tensor(27.8698),tensor(0.7298),tensor(0.0890)
2,big_tree,957,1280,68,jpegxl,25,0.4547544409613375,tensor(26.8212),tensor(0.7527),tensor(0.0980)
3,bridge,1885,1280,100,jpegxl,25,0.3395225464190981,tensor(29.5896),tensor(0.7533),tensor(0.0815)
4,cathedral,1925,1280,76,jpegxl,25,0.25267532467532466,tensor(32.3765),tensor(0.8061),tensor(0.0628)
5,deer,836,1280,24,jpegxl,25,0.18373205741626794,tensor(34.0551),tensor(0.8752),tensor(0.0528)
6,fireworks,960,1280,32,jpegxl,25,0.21333333333333335,tensor(33.1529),tensor(0.9218),tensor(0.0321)
7,flower_foveon,853,1280,20,jpegxl,25,0.15005861664712777,tensor(35.1136),tensor(0.9266),tensor(0.0508)
8,hdr,853,1280,28,jpegxl,25,0.2100820633059789,tensor(35.3082),tensor(0.9330),tensor(0.0541)
9,leaves_iso_200,851,1280,88,jpegxl,25,0.6618096357226791,tensor(25.5070),tensor(0.7433),tensor(0.1215)
10,nightshot_iso_100,960,1280,32,jpegxl,25,0.21333333333333335,tensor(32.7185),tensor(0.9072),tensor(0.0589)
11,spider_web,857,1280,20,jpegxl,25,0.14935822637106183,tensor(37.9929),tensor(0.9579),tensor(0.0616)
0,artificial,853,1280,76,jpegxl,60,0.5702227432590856,tensor(33.6372),tensor(0.9287),tensor(0.0387)
1,big_building,960,1280,112,jpegxl,60,0.7466666666666667,tensor(29.9796),tensor(0.8217),tensor(0.0650)
2,big_tree,957,1280,120,jpegxl,60,0.8025078369905956,tensor(28.3821),tensor(0.7941),tensor(0.0734)
3,bridge,1885,1280,164,jpegxl,60,0.556816976127321,tensor(31.0181),tensor(0.7873),tensor(0.0648)
4,cathedral,1925,1280,136,jpegxl,60,0.45215584415584414,tensor(34.0500),tensor(0.8443),tensor(0.0455)
5,deer,836,1280,36,jpegxl,60,0.2755980861244019,tensor(35.2490),tensor(0.8820),tensor(0.0431)
6,fireworks,960,1280,48,jpegxl,60,0.32,tensor(36.0343),tensor(0.9403),tensor(0.0238)
7,flower_foveon,853,1280,28,jpegxl,60,0.2100820633059789,tensor(36.9373),tensor(0.9335),tensor(0.0394)
8,hdr,853,1280,44,jpegxl,60,0.33012895662368114,tensor(37.5069),tensor(0.9488),tensor(0.0401)
9,leaves_iso_200,851,1280,152,jpegxl,60,1.1431257344300823,tensor(27.6828),tensor(0.8183),tensor(0.0894)
10,nightshot_iso_100,960,1280,56,jpegxl,60,0.37333333333333335,tensor(34.5790),tensor(0.9232),tensor(0.0436)
11,spider_web,857,1280,36,jpegxl,60,0.26884480746791134,tensor(40.5845),tensor(0.9688),tensor(0.0459)
0,artificial,853,1280,176,jpegxl,90,1.3205158264947245,tensor(38.6519),tensor(0.9586),tensor(0.0204)
1,big_building,960,1280,328,jpegxl,90,2.1866666666666665,tensor(35.3269),tensor(0.9355),tensor(0.0376)
2,big_tree,957,1280,304,jpegxl,90,2.0330198537095088,tensor(31.6227),tensor(0.8509),tensor(0.0416)
3,bridge,1885,1280,520,jpegxl,90,1.7655172413793103,tensor(33.5996),tensor(0.8535),tensor(0.0391)
4,cathedral,1925,1280,372,jpegxl,90,1.2367792207792208,tensor(36.4466),tensor(0.8903),tensor(0.0275)
5,deer,836,1280,128,jpegxl,90,0.9799043062200957,tensor(37.0760),tensor(0.8943),tensor(0.0276)
6,fireworks,960,1280,104,jpegxl,90,0.6933333333333334,tensor(40.0170),tensor(0.9578),tensor(0.0153)
7,flower_foveon,853,1280,72,jpegxl,90,0.54021101992966,tensor(40.3625),tensor(0.9465),tensor(0.0263)
8,hdr,853,1280,120,jpegxl,90,0.9003516998827668,tensor(41.3171),tensor(0.9700),tensor(0.0253)
9,leaves_iso_200,851,1280,368,jpegxl,90,2.7675675675675677,tensor(32.1015),tensor(0.9071),tensor(0.0498)
10,nightshot_iso_100,960,1280,140,jpegxl,90,0.9333333333333333,tensor(38.1657),tensor(0.9450),tensor(0.0280)
11,spider_web,857,1280,88,jpegxl,90,0.6571761960326721,tensor(43.3455),tensor(0.9778),tensor(0.0311)
