name,height,width,file_size(kb),method,compression_level
artificial, 853, 1280 ,176,jpegxl,90
big_building, 960, 1280 ,328,jpegxl,90
big_tree, 957, 1280 ,304,jpegxl,90
bridge, 1885, 1280 ,520,jpegxl,90
cathedral, 1925, 1280 ,372,jpegxl,90
deer, 836, 1280 ,128,jpegxl,90
fireworks, 960, 1280 ,104,jpegxl,90
flower_foveon, 853, 1280 ,72,jpegxl,90
hdr, 853, 1280 ,120,jpegxl,90
leaves_iso_200, 851, 1280 ,368,jpegxl,90
nightshot_iso_100, 960, 1280 ,140,jpegxl,90
spider_web, 857, 1280 ,88,jpegxl,90
